line_number,cleaned_text
1,Sun
2,Aug31
3,"$$2,968"
4,"$2,044"
5,"$2,984"
6,"$2,044"
7,"$3,127"
8,"$2,612"
9,"$3,491"
10,Mon
11,Sep1
12,"$1,402"
13,"$1,856"
14,"$1,572"
15,"$1,574"
16,"$2,855"
17,"$2,173"
18,"$1,953"
19,Tue
20,Sep2
21,"$1,572"
22,"$1,415"
23,"$1,572"
24,"$1,415"
25,"$2,306"
26,"$2,070"
27,"$2,479"
28,Wed
29,Sep3
30,"$1,572"
31,"$1,729"
32,"$1,572"
33,"$1,729"
34,"$2,403"
35,"$1,775"
36,"$1,771"
37,Thu
38,Sep4
39,"$1,729"
40,"$1,415"
41,"$$1,907"
42,"$1,415"
43,"$2,403"
44,"$1,775"
45,"$17,741"
46,Fri
47,Sep5
48,"$1,775"
49,"$1,775"
50,"$2,189"
51,"$1,775"
52,"$2,189"
53,"$1,821"
54,"$$1,817"
55,Sat
56,Sep6
57,"$1,402"
58,"$1,775"
59,"$$1,618"
60,"$1,574"
61,"$2,347"
62,"$1,821"
63,"$$1,817"
64,Sun
65,Sep21
66,Mon
67,Sep22
68,Tue
69,Sep23
70,Wed
71,Sep24
72,Thu
73,Sep25
74,Sep26
75,Sat
76,Sep27
