line_number,cleaned_text
1,"$2,148"
2,"$1,558"
3,"$2,148"
4,"$1,775"
5,"$1,771"
6,"$1,402"
7,"$1,787"
8,"$$1,907"
9,"$1,574"
10,"$2,148"
11,"$2,169"
12,"$1,953"
13,Tue
14,Sepe
15,"$1,765"
16,"$1,558"
17,"$1,907"
18,"$1,558"
19,"$2,148"
20,"$2,077"
21,"$1,953"
22,Wed
23,Sep
24,"$1,918"
25,"$1,787"
26,"$2,268"
27,"$1,787"
28,"$2,301"
29,"$2,169"
30,"$2,310"
31,Thu
32,Sen1
33,"$1,572"
34,"$1,415"
35,"$1,572"
36,"$1,415"
37,"$2,301"
38,"$1,775"
39,"$17,714"
40,Fr
41,Sep12
42,"$1,775"
43,"$1,775"
44,"$1,953"
45,"$1,775"
46,"$1,821"
47,"$1,817"
48,Sav
49,Sep13
50,"$1,565"
51,"$1,787"
52,"$1,737"
53,Ade
54,MSes47
55,Sur
56,Sep21
57,Man
58,Sep22
59,Sen24
60,The
61,Sep25
62,Fr
63,Sep2
64,Sat
65,Sep27
