line_number,cleaned_text
1,Sun
2,Aug24
3,"$2,402"
4,"$2,572"
5,"$2,402"
6,"$2,152"
7,"$3,437"
8,"$2,572"
9,"$2,724"
10,Mon
11,Aug25
12,"$1,907"
13,"$1,907"
14,"$1,907"
15,"$2,531"
16,"$3,284"
17,"$2,962"
18,"$2,571"
19,Tue
20,Aug26
21,"$2,173"
22,"$2,297"
23,"$2,173"
24,"$1,877"
25,"$3,207"
26,"$2,083"
27,"$2,495"
28,Wed
29,Aug27
30,"$2,482"
31,ABATIF
32,"$2,482"
33,"$2,724"
34,"$3,477"
35,"$3,491"
36,"$2,764"
37,Thu
38,Aug28
39,"$2,602"
40,"$1,972"
41,"$2,602"
42,"$1,877"
43,"$2,123"
44,"$2,297"
45,"$2,884"
46,Fr
47,Aug29
48,"$1,957"
49,"$1,618"
50,"$1,957"
51,"$2,961"
52,ARLe25
53,"$3,002"
54,"$2,431"
55,"$i,618"
56,"$2,717"
57,"$2,647"
58,"$2,620"
59,"$2,999"
60,Sur
61,Sep28
62,Man
63,Sep29
64,ue
65,Sep30
66,Oct2
67,Sat
68,Oxt4
