line_number,cleaned_text
1,Sun
2,Sen14
3,"$2,402"
4,"$2,402"
5,"$2,402"
6,"$2,348"
7,"$2,964"
8,"$2,205"
9,"$2,699"
10,"$1,733"
11,"$2,339"
12,"$2,447"
13,"$1,950"
14,"$2,901"
15,"$2,134"
16,"$2,636"
17,Toe
18,Seni
19,"$2,402"
20,"$2,442"
21,"$2,402"
22,"$2,277"
23,"$3,198"
24,"$2,134"
25,"$2,724"
26,Wed
27,Seni
28,"$2,402"
29,"$2,299"
30,"$2,402"
31,"$2,134"
32,"$1,991"
33,"$2,724"
34,Thu
35,Sep18
36,"$$2,523"
37,"$2,513"
38,"$$2,523"
39,"$2,348"
40,"$3,222"
41,"$2,205"
42,"$2,805"
43,Fr
44,Sep
45,"$1,997"
46,"$1,957"
47,"$1,997"
48,"$2,979"
49,"$2,169"
50,"$3,020"
51,Sav
52,Sep2t
53,"$1,648"
54,"$2,235"
55,"$2,717"
56,"$1,950"
57,"$2,205"
58,"$2,999"
59,Mon
60,Sep26
