line_number,cleaned_text
1,"$1,467"
2,"$1,918"
3,"$1,467"
4,"$1,918"
5,"$1,467"
6,"$21,883"
7,Mon
8,ug25
9,"$1,950"
10,Ahgair
11,"$1,765"
12,"$1,765"
13,"$1,765"
14,"$2,035"
15,"$1,953"
16,Tue
17,Aug26
18,"$11,995,"
19,"41,192"
20,"$1,688"
21,"41,192"
22,"$1,688"
23,"41,192"
24,"$1,958"
25,Ned
26,Aug27
27,AGZAte
28,AGZAa4
29,"$1,998"
30,"$1,998"
31,"$1,998"
32,"$2,268"
33,"$2,268"
34,The
35,ug28
36,ARES
37,"41,192"
38,"$2,117"
39,"41,192"
40,"$2,117"
41,"41,192"
42,"$1,618"
43,Fr
44,Aug29
45,"$1,946"
46,"$1,953"
47,"$1,618"
48,"$1,953"
49,"$1,664"
50,"$1,664"
51,Sat
52,Awg3D
53,"$1,946"
54,"$1,962"
55,"$2,079"
56,"$1,618"
57,"$2,079"
58,"$1,664"
59,"$1,664"
60,Sepi2
61,Sep13
