line_number,cleaned_text
1,Sur
2,Aug24
3,"$1,918"
4,"$1,994"
5,"$$2,301"
6,"$2,002"
7,"$$2,301"
8,"$2,352"
9,"$2,479"
10,Mor
11,Aug25
12,"$1,765"
13,"$1,841"
14,"$1,903"
15,"$1,907"
16,"$2,148"
17,"$2,290"
18,"$1,949"
19,Tue
20,Aug26
21,"$1,688"
22,"$1,736"
23,"$2,072"
24,"$1,727"
25,"$2,072"
26,"$2,077"
27,"$2,265"
28,Wed
29,Aug27
30,"$1,998"
31,"$2,074"
32,"$2,341"
33,"$2,341"
34,"$2,341"
35,"$25,424"
36,Thu
37,Aug28
38,"$1,572"
39,"$1,877"
40,"$1,572"
41,"$1,727"
42,"$2,461"
43,"$2,077"
44,"$2,479"
45,Fri
46,Aug29
47,"$1,618"
48,"$2,311"
49,"$1,618"
50,"$1,957"
51,"$1,999"
52,Sat
53,Aug30
54,"$1,618"
55,"$2,156"
56,"$1,618"
57,"$$2,271"
58,",O"
59,Sur
60,Sep21
61,Mon
62,Sep22
63,Tue
64,Sep23
65,Wed
66,Sep24
67,Thu
68,Sep25
69,Fr
70,Sep2
71,Sat
72,Sep27
