line_number,cleaned_text
1,"$1,729"
2,"$2,148"
3,"$2,148"
4,"$1,775"
5,"$1,771"
6,"$$1,402"
7,"$1,787"
8,"$1,907"
9,"$I,S74"
10,"$$2,148"
11,"$2,169"
12,"$1,953"
13,Toe
14,Sep9
15,"$1,765"
16,$
17,"$1,907"
18,$I
19,"$2,148"
20,"$2,077"
21,"$1,953"
22,"$1,918"
23,"$$1,787"
24,"$2,268"
25,"$$1,787"
26,"$2,301"
27,"$2,169"
28,"$2,310"
29,"$14,185"
30,"$2,301"
31,"$1,775"
32,"$1,771"
33,Fr
34,Sep12
35,"$1,775"
36,"$1,775"
37,"$1,953"
38,"$1,775"
39,"$1,821"
40,"$1,817"
41,S
42,Sep13
43,"$11,565"
44,"$1,787"
45,"$1,737"
